test_id,node,test_category,test_description,test,result,failure_reason
223,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.5,PASS,
224,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.6,PASS,
225,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.1,PASS,
226,DC1-LEAF1B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF1B - 10.255.0.4 Destination: 10.255.0.2,PASS,
227,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.3,PASS,
228,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.4,PASS,
229,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.5,PASS,
230,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.6,PASS,
231,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.1,PASS,
232,DC1-LEAF2A,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2A - 10.255.0.5 Destination: 10.255.0.2,PASS,
233,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.3,PASS,
234,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.4,PASS,
235,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.5,PASS,
236,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.6,PASS,
237,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.1,PASS,
238,DC1-LEAF2B,Loopback0 Reachability,Loopback0 Reachability,Source: DC1-LEAF2B - 10.255.0.6 Destination: 10.255.0.2,PASS,
